1,1,16,0.046875000000000014,0.370328,0
threads,skew,src_mem_kb,total_mem_kb,execution_time,inputdatacached
1,1,16,0.046875000000000014,0.181815,0
threads,skew,src_mem_kb,total_mem_kb,execution_time,inputdatacached
1,1,16,0.046875000000000014,0.368302,0
threads,skew,src_mem_kb,total_mem_kb,execution_time,inputdatacached
threads,skew,src_mem_kb,total_mem_kb,execution_time,inputdatacached
32,1,512000,1500.0,110.981,0
threads,skew,src_mem_kb,total_mem_kb,execution_time,inputdatacached
32,1,512000,1500.0,521.057,0
threads,skew,src_mem_kb,total_mem_kb,execution_time,inputdatacached
threads,skew,src_mem_kb,total_mem_kb,execution_time,inputdatacached
threads,skew,src_mem_kb,total_mem_kb,execution_time,inputdatacached
32,1,512000,1500.0,19.8072,0
threads,skew,src_mem_kb,total_mem_kb,execution_time,inputdatacached
32,1,512000,1500.0,103.74,0
threads,skew,src_mem_kb,total_mem_kb,execution_time,inputdatacached,NoAMX
32,1,18,0.052734375,0.0378676,0,false
32,1,32,0.09375,0.0339756,0,false
32,1,128,0.375,0.0348866,0,false
32,1,512,1.5,0.0345691,0,false
32,1,5024,14.71875,0.179928,0,false
32,1,100048,293.109375,2.59011,0,false
32,1,512000,1500.0,39.5665,0,false
threads,skew,src_mem_kb,total_mem_kb,execution_time,inputdatacached,NoAMX
32,1,18,0.052734375,0.038518,0,true
32,1,32,0.09375,0.0345874,0,true
32,1,128,0.375,0.0328819,0,true
32,1,512,1.5,0.0354668,0,true
32,1,5024,14.71875,0.298738,0,true
32,1,100048,293.109375,18.6017,0,true
32,1,512000,1500.0,208.053,0,true
threads,skew,src_mem_kb,total_mem_kb,execution_time,inputdatacached,NoAMX
32,1,18,0.052734375,20.2934,0,false
32,1,32,0.09375,20.7575,0,false
32,1,128,0.375,22.5656,0,false
32,1,512,1.5,7.14026,0,false
32,1,5024,14.71875,9.25572,0,false
32,1,100048,293.109375,1.68518,0,false
32,1,512000,1500.0,4.99153,0,false
threads,skew,src_mem_kb,total_mem_kb,execution_time,inputdatacached,NoAMX
32,1,18,0.052734375,23.7193,0,true
32,1,32,0.09375,22.3998,0,true
32,1,128,0.375,27.5639,0,true
32,1,512,1.5,67.2512,0,true
