src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
128,128,128,128,3,1,32,0.09375,0.00276147,0.00318846,0,false,M values: M=128, M_blk=48, M_tail=32, M_chunks=3, M_chunk_elems=48, num_M_blocks=3, M_chunk_size=1,N values: N=128, N_blk=64, N_tail=0, N_chunks=1, N_chunk_elems=128, num_N_blocks=2, N_chunk_size=2,K values: K=128, K_blk=128, K_tail=0, K_chunks=1, K_chunk_elems=128,
128,128,128,128,4,1,32,0.09375,0.00242626,0.00264695,0,false,M values: M=128, M_blk=32, M_tail=0, M_chunks=2, M_chunk_elems=64, num_M_blocks=4, M_chunk_size=2,N values: N=128, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=128, K_blk=128, K_tail=0, K_chunks=1, K_chunk_elems=128,
128,128,128,128,5,1,32,0.09375,0.00253474,0.00264036,0,false,M values: M=128, M_blk=32, M_tail=0, M_chunks=4, M_chunk_elems=32, num_M_blocks=4, M_chunk_size=1,N values: N=128, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=128, K_blk=128, K_tail=0, K_chunks=1, K_chunk_elems=128,
128,128,128,128,6,1,32,0.09375,0.00319144,0.00313198,0,false,M values: M=128, M_blk=48, M_tail=32, M_chunks=3, M_chunk_elems=48, num_M_blocks=3, M_chunk_size=1,N values: N=128, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=128, K_blk=128, K_tail=0, K_chunks=1, K_chunk_elems=128,
128,128,128,128,7,1,32,0.09375,0.00270662,0.00273965,0,false,M values: M=128, M_blk=32, M_tail=0, M_chunks=4, M_chunk_elems=32, num_M_blocks=4, M_chunk_size=1,N values: N=128, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=128, K_blk=128, K_tail=0, K_chunks=1, K_chunk_elems=128,
128,128,128,128,8,1,32,0.09375,0.00293964,0.00278959,0,false,M values: M=128, M_blk=32, M_tail=0, M_chunks=4, M_chunk_elems=32, num_M_blocks=4, M_chunk_size=1,N values: N=128, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=128, K_blk=128, K_tail=0, K_chunks=1, K_chunk_elems=128,
128,128,128,128,9,1,32,0.09375,0.00295731,0.00299015,0,false,M values: M=128, M_blk=32, M_tail=0, M_chunks=4, M_chunk_elems=32, num_M_blocks=4, M_chunk_size=1,N values: N=128, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=128, K_blk=128, K_tail=0, K_chunks=1, K_chunk_elems=128,
128,128,128,128,10,1,32,0.09375,0.00288763,0.00283453,0,false,M values: M=128, M_blk=32, M_tail=0, M_chunks=4, M_chunk_elems=32, num_M_blocks=4, M_chunk_size=1,N values: N=128, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=128, K_blk=128, K_tail=0, K_chunks=1, K_chunk_elems=128,
128,128,128,128,11,1,32,0.09375,0.00312797,0.00296472,0,false,M values: M=128, M_blk=32, M_tail=0, M_chunks=4, M_chunk_elems=32, num_M_blocks=4, M_chunk_size=1,N values: N=128, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=128, K_blk=128, K_tail=0, K_chunks=1, K_chunk_elems=128,
128,128,128,128,12,1,32,0.09375,0.00306939,0.00314039,0,false,M values: M=128, M_blk=32, M_tail=0, M_chunks=4, M_chunk_elems=32, num_M_blocks=4, M_chunk_size=1,N values: N=128, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=128, K_blk=128, K_tail=0, K_chunks=1, K_chunk_elems=128,
