BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
768,1,4096,4096,4096,4096,64,1,32768,96.0,5.7959,5.98699,0,false,M values: M=4096, M_blk=768, M_tail=256, M_chunks=6, M_chunk_elems=768, num_M_blocks=6, M_chunk_size=1,N values: N=4096, N_blk=64, N_tail=0, N_chunks=6, N_chunk_elems=768, num_N_blocks=64, N_chunk_size=12,K values: K=4096, K_blk=1024, K_tail=0, K_chunks=4, K_chunk_elems=1024,
768,1,4096,4096,4096,4096,1,1,32768,96.0,466.149,474.29,0,false,M values: M=4096, M_blk=768, M_tail=256, M_chunks=6, M_chunk_elems=768, num_M_blocks=6, M_chunk_size=1,N values: N=4096, N_blk=64, N_tail=0, N_chunks=6, N_chunk_elems=768, num_N_blocks=64, N_chunk_size=12,K values: K=4096, K_blk=32, K_tail=0, K_chunks=128, K_chunk_elems=32,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
None,1,1024,1024,1024,1024,64,1,2048,6.0,0.0600647,0.0596208,0,false,M values: M=1024, M_blk=64, M_tail=0, M_chunks=4, M_chunk_elems=256, num_M_blocks=16, M_chunk_size=4,N values: N=1024, N_blk=64, N_tail=0, N_chunks=16, N_chunk_elems=64, num_N_blocks=16, N_chunk_size=1,K values: K=1024, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=1024,
None,1,1024,1024,1024,1024,1,1,2048,6.0,2.9118,2.92026,0,false,M values: M=1024, M_blk=64, M_tail=0, M_chunks=4, M_chunk_elems=256, num_M_blocks=16, M_chunk_size=4,N values: N=1024, N_blk=64, N_tail=0, N_chunks=4, N_chunk_elems=320, num_N_blocks=16, N_chunk_size=5,K values: K=1024, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=1024,
None,1,4096,4096,4096,4096,64,1,32768,96.0,3.48364,3.4256,0,false,M values: M=4096, M_blk=64, M_tail=0, M_chunks=16, M_chunk_elems=256, num_M_blocks=64, M_chunk_size=4,N values: N=4096, N_blk=64, N_tail=0, N_chunks=16, N_chunk_elems=256, num_N_blocks=64, N_chunk_size=4,K values: K=4096, K_blk=1024, K_tail=0, K_chunks=4, K_chunk_elems=1024,
None,1,4096,4096,4096,4096,1,1,32768,96.0,221.209,223.687,0,false,M values: M=4096, M_blk=64, M_tail=0, M_chunks=16, M_chunk_elems=256, num_M_blocks=64, M_chunk_size=4,N values: N=4096, N_blk=64, N_tail=0, N_chunks=11, N_chunk_elems=384, num_N_blocks=64, N_chunk_size=6,K values: K=4096, K_blk=32, K_tail=0, K_chunks=6, K_chunk_elems=704,
#increased batchSize and only running 64 threads
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
256,32,1024,1024,1024,1024,64,1,2048,192.0,1.51536,1.48566,0,false,M values: M=1024, M_blk=256, M_tail=0, M_chunks=4, M_chunk_elems=256, num_M_blocks=4, M_chunk_size=1,N values: N=1024, N_blk=64, N_tail=0, N_chunks=4, N_chunk_elems=256, num_N_blocks=16, N_chunk_size=4,K values: K=1024, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=32768,
