src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
128,128,128,128,5,1,32,1.5,0.00363506,0.00408474,0,false,M values: M=128, M_blk=64, M_tail=0, M_chunks=1, M_chunk_elems=128, num_M_blocks=2, M_chunk_size=2,N values: N=128, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=128, K_blk=128, K_tail=0, K_chunks=1, K_chunk_elems=128,
128,128,128,128,6,1,32,1.5,0.00372615,0.0042462,0,false,M values: M=128, M_blk=64, M_tail=0, M_chunks=1, M_chunk_elems=128, num_M_blocks=2, M_chunk_size=2,N values: N=128, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=128, K_blk=128, K_tail=0, K_chunks=1, K_chunk_elems=128,
128,128,128,128,7,1,32,1.5,0.00382182,0.00404751,0,false,M values: M=128, M_blk=64, M_tail=0, M_chunks=1, M_chunk_elems=128, num_M_blocks=2, M_chunk_size=2,N values: N=128, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=128, K_blk=128, K_tail=0, K_chunks=1, K_chunk_elems=128,
128,128,128,128,8,1,32,1.5,0.00407116,0.00391577,0,false,M values: M=128, M_blk=64, M_tail=0, M_chunks=1, M_chunk_elems=128, num_M_blocks=2, M_chunk_size=2,N values: N=128, N_blk=64, N_tail=0, N_chunks=1, N_chunk_elems=128, num_N_blocks=2, N_chunk_size=2,K values: K=128, K_blk=128, K_tail=0, K_chunks=1, K_chunk_elems=128,
128,128,128,128,9,1,32,1.5,0.00400495,0.0347819,0,false,M values: M=128, M_blk=64, M_tail=0, M_chunks=1, M_chunk_elems=128, num_M_blocks=2, M_chunk_size=2,N values: N=128, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=128, K_blk=128, K_tail=0, K_chunks=1, K_chunk_elems=128,
128,128,128,128,10,1,32,1.5,0.00377083,0.00420592,0,false,M values: M=128, M_blk=64, M_tail=0, M_chunks=1, M_chunk_elems=128, num_M_blocks=2, M_chunk_size=2,N values: N=128, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=128, K_blk=128, K_tail=0, K_chunks=1, K_chunk_elems=128,
128,128,128,128,11,1,32,1.5,0.00418019,0.0042212,0,false,M values: M=128, M_blk=64, M_tail=0, M_chunks=2, M_chunk_elems=64, num_M_blocks=2, M_chunk_size=1,N values: N=128, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=128, K_blk=128, K_tail=0, K_chunks=1, K_chunk_elems=128,
128,128,128,128,12,1,32,1.5,0.00396359,0.00405355,0,false,M values: M=128, M_blk=64, M_tail=0, M_chunks=2, M_chunk_elems=64, num_M_blocks=2, M_chunk_size=1,N values: N=128, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=128, K_blk=128, K_tail=0, K_chunks=1, K_chunk_elems=128,
256,256,256,256,1,1,128,6.0,0.0114355,0.0117009,0,false,M values: M=256, M_blk=64, M_tail=0, M_chunks=1, M_chunk_elems=256, num_M_blocks=4, M_chunk_size=4,N values: N=256, N_blk=64, N_tail=0, N_chunks=1, N_chunk_elems=256, num_N_blocks=4, N_chunk_size=4,K values: K=256, K_blk=256, K_tail=0, K_chunks=1, K_chunk_elems=256,
256,256,256,256,2,1,128,6.0,0.0082002,0.00825954,0,false,M values: M=256, M_blk=64, M_tail=0, M_chunks=1, M_chunk_elems=256, num_M_blocks=4, M_chunk_size=4,N values: N=256, N_blk=64, N_tail=0, N_chunks=1, N_chunk_elems=256, num_N_blocks=4, N_chunk_size=4,K values: K=256, K_blk=256, K_tail=0, K_chunks=1, K_chunk_elems=256,
