BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
256,1,11448,11448,11448,11448,32,1,256000,750.0000000000001,0.150076,0.156457,0,false,M values: M=11448, M_blk=256, M_tail=184, M_chunks=45, M_chunk_elems=256, num_M_blocks=45, M_chunk_size=1,N values: N=11448, N_blk=256, N_tail=184, N_chunks=45, N_chunk_elems=256, num_N_blocks=45, N_chunk_size=1,K values: K=11448, K_blk=256, K_tail=184, K_chunks=1, K_chunk_elems=15360,
256,1,11448,11448,11448,11448,64,1,256000,750.0000000000001,0.146795,0.147514,0,false,M values: M=11448, M_blk=256, M_tail=184, M_chunks=45, M_chunk_elems=256, num_M_blocks=45, M_chunk_size=1,N values: N=11448, N_blk=256, N_tail=184, N_chunks=45, N_chunk_elems=256, num_N_blocks=45, N_chunk_size=1,K values: K=11448, K_blk=256, K_tail=184, K_chunks=1, K_chunk_elems=15360,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
512,1,1024,1024,1024,1024,32,1,2048,6.0,0.0206108,0.0212591,0,false,M values: M=1024, M_blk=512, M_tail=0, M_chunks=2, M_chunk_elems=512, num_M_blocks=2, M_chunk_size=1,N values: N=1024, N_blk=512, N_tail=0, N_chunks=2, N_chunk_elems=512, num_N_blocks=2, N_chunk_size=1,K values: K=1024, K_blk=512, K_tail=0, K_chunks=2, K_chunk_elems=512,
512,1,1024,1024,1024,1024,64,1,2048,6.0,0.00709529,0.007992,0,false,M values: M=1024, M_blk=512, M_tail=0, M_chunks=2, M_chunk_elems=512, num_M_blocks=2, M_chunk_size=1,N values: N=1024, N_blk=512, N_tail=0, N_chunks=2, N_chunk_elems=512, num_N_blocks=2, N_chunk_size=1,K values: K=1024, K_blk=512, K_tail=0, K_chunks=2, K_chunk_elems=512,
512,1,4096,4096,4096,4096,32,1,32768,96.0,0.0224255,0.0221984,0,false,M values: M=4096, M_blk=512, M_tail=0, M_chunks=8, M_chunk_elems=512, num_M_blocks=8, M_chunk_size=1,N values: N=4096, N_blk=512, N_tail=0, N_chunks=8, N_chunk_elems=512, num_N_blocks=8, N_chunk_size=1,K values: K=4096, K_blk=512, K_tail=0, K_chunks=8, K_chunk_elems=512,
512,1,4096,4096,4096,4096,64,1,32768,96.0,0.0209948,0.0217011,0,false,M values: M=4096, M_blk=512, M_tail=0, M_chunks=8, M_chunk_elems=512, num_M_blocks=8, M_chunk_size=1,N values: N=4096, N_blk=512, N_tail=0, N_chunks=8, N_chunk_elems=512, num_N_blocks=8, N_chunk_size=1,K values: K=4096, K_blk=512, K_tail=0, K_chunks=8, K_chunk_elems=512,
512,1,7662,7662,7662,7662,32,1,114688,336.0,0.055206,0.0582133,0,false,M values: M=7662, M_blk=512, M_tail=494, M_chunks=15, M_chunk_elems=512, num_M_blocks=15, M_chunk_size=1,N values: N=7662, N_blk=512, N_tail=494, N_chunks=15, N_chunk_elems=512, num_N_blocks=15, N_chunk_size=1,K values: K=7662, K_blk=512, K_tail=494, K_chunks=1, K_chunk_elems=30720,
512,1,7662,7662,7662,7662,64,1,114688,336.0,0.0676842,0.0650817,0,false,M values: M=7662, M_blk=512, M_tail=494, M_chunks=15, M_chunk_elems=512, num_M_blocks=15, M_chunk_size=1,N values: N=7662, N_blk=512, N_tail=494, N_chunks=15, N_chunk_elems=512, num_N_blocks=15, N_chunk_size=1,K values: K=7662, K_blk=512, K_tail=494, K_chunks=1, K_chunk_elems=30720,
512,1,11448,11448,11448,11448,32,1,256000,750.0000000000001,0.129972,0.132171,0,false,M values: M=11448, M_blk=512, M_tail=184, M_chunks=23, M_chunk_elems=512, num_M_blocks=23, M_chunk_size=1,N values: N=11448, N_blk=512, N_tail=184, N_chunks=23, N_chunk_elems=512, num_N_blocks=23, N_chunk_size=1,K values: K=11448, K_blk=512, K_tail=184, K_chunks=1, K_chunk_elems=30720,
512,1,11448,11448,11448,11448,64,1,256000,750.0000000000001,0.128988,0.136082,0,false,M values: M=11448, M_blk=512, M_tail=184, M_chunks=23, M_chunk_elems=512, num_M_blocks=23, M_chunk_size=1,N values: N=11448, N_blk=512, N_tail=184, N_chunks=23, N_chunk_elems=512, num_N_blocks=23, N_chunk_size=1,K values: K=11448, K_blk=512, K_tail=184, K_chunks=1, K_chunk_elems=30720,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
768,1,1024,1024,1024,1024,32,1,2048,6.0,0.0180014,0.0186541,0,false,M values: M=1024, M_blk=768, M_tail=256, M_chunks=2, M_chunk_elems=768, num_M_blocks=2, M_chunk_size=1,N values: N=1024, N_blk=768, N_tail=256, N_chunks=2, N_chunk_elems=768, num_N_blocks=2, N_chunk_size=1,K values: K=1024, K_blk=768, K_tail=256, K_chunks=2, K_chunk_elems=768,
768,1,1024,1024,1024,1024,64,1,2048,6.0,0.00806565,0.00697731,0,false,M values: M=1024, M_blk=768, M_tail=256, M_chunks=2, M_chunk_elems=768, num_M_blocks=2, M_chunk_size=1,N values: N=1024, N_blk=768, N_tail=256, N_chunks=2, N_chunk_elems=768, num_N_blocks=2, N_chunk_size=1,K values: K=1024, K_blk=768, K_tail=256, K_chunks=2, K_chunk_elems=768,
768,1,4096,4096,4096,4096,32,1,32768,96.0,0.0212509,0.0215196,0,false,M values: M=4096, M_blk=768, M_tail=256, M_chunks=6, M_chunk_elems=768, num_M_blocks=6, M_chunk_size=1,N values: N=4096, N_blk=768, N_tail=256, N_chunks=6, N_chunk_elems=768, num_N_blocks=6, N_chunk_size=1,K values: K=4096, K_blk=768, K_tail=256, K_chunks=6, K_chunk_elems=768,
768,1,4096,4096,4096,4096,64,1,32768,96.0,0.0209167,0.022989,0,false,M values: M=4096, M_blk=768, M_tail=256, M_chunks=6, M_chunk_elems=768, num_M_blocks=6, M_chunk_size=1,N values: N=4096, N_blk=768, N_tail=256, N_chunks=6, N_chunk_elems=768, num_N_blocks=6, N_chunk_size=1,K values: K=4096, K_blk=768, K_tail=256, K_chunks=6, K_chunk_elems=768,
768,1,7662,7662,7662,7662,32,1,114688,336.0,0.0589311,0.0592387,0,false,M values: M=7662, M_blk=768, M_tail=750, M_chunks=10, M_chunk_elems=768, num_M_blocks=10, M_chunk_size=1,N values: N=7662, N_blk=768, N_tail=750, N_chunks=10, N_chunk_elems=768, num_N_blocks=10, N_chunk_size=1,K values: K=7662, K_blk=768, K_tail=750, K_chunks=1, K_chunk_elems=46080,
768,1,7662,7662,7662,7662,64,1,114688,336.0,0.0636246,0.062522,0,false,M values: M=7662, M_blk=768, M_tail=750, M_chunks=10, M_chunk_elems=768, num_M_blocks=10, M_chunk_size=1,N values: N=7662, N_blk=768, N_tail=750, N_chunks=10, N_chunk_elems=768, num_N_blocks=10, N_chunk_size=1,K values: K=7662, K_blk=768, K_tail=750, K_chunks=1, K_chunk_elems=46080,
768,1,11448,11448,11448,11448,32,1,256000,750.0000000000001,0.124619,0.123457,0,false,M values: M=11448, M_blk=768, M_tail=696, M_chunks=15, M_chunk_elems=768, num_M_blocks=15, M_chunk_size=1,N values: N=11448, N_blk=768, N_tail=696, N_chunks=15, N_chunk_elems=768, num_N_blocks=15, N_chunk_size=1,K values: K=11448, K_blk=768, K_tail=696, K_chunks=1, K_chunk_elems=46080,
768,1,11448,11448,11448,11448,64,1,256000,750.0000000000001,0.128965,0.132985,0,false,M values: M=11448, M_blk=768, M_tail=696, M_chunks=15, M_chunk_elems=768, num_M_blocks=15, M_chunk_size=1,N values: N=11448, N_blk=768, N_tail=696, N_chunks=15, N_chunk_elems=768, num_N_blocks=15, N_chunk_size=1,K values: K=11448, K_blk=768, K_tail=696, K_chunks=1, K_chunk_elems=46080,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
768,1,7662,7662,7662,7662,32,1,114688,336.0,0.0794354,0.0769877,0,false,M values: M=7662, M_blk=768, M_tail=750, M_chunks=10, M_chunk_elems=768, num_M_blocks=10, M_chunk_size=1,N values: N=7662, N_blk=768, N_tail=750, N_chunks=10, N_chunk_elems=768, num_N_blocks=10, N_chunk_size=1,K values: K=7662, K_blk=768, K_tail=750, K_chunks=1, K_chunk_elems=46080,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
768,1,7662,7662,7662,7662,32,1,114688,336.0,0.334439,0.334348,0,false,M values: M=7662, M_blk=768, M_tail=750, M_chunks=10, M_chunk_elems=768, num_M_blocks=10, M_chunk_size=1,N values: N=7662, N_blk=768, N_tail=750, N_chunks=10, N_chunk_elems=768, num_N_blocks=10, N_chunk_size=1,K values: K=7662, K_blk=768, K_tail=750, K_chunks=1, K_chunk_elems=46080,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
768,1,7662,7662,7662,7662,32,1,114688,336.0,2.90728,2.95678,0,false,M values: M=7662, M_blk=768, M_tail=750, M_chunks=10, M_chunk_elems=768, num_M_blocks=10, M_chunk_size=1,N values: N=7662, N_blk=768, N_tail=750, N_chunks=10, N_chunk_elems=768, num_N_blocks=10, N_chunk_size=1,K values: K=7662, K_blk=768, K_tail=750, K_chunks=1, K_chunk_elems=46080,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
768,1,7662,7662,7662,7662,32,1,114688,336.0,2.94613,2.9823,0,false,M values: M=7662, M_blk=768, M_tail=750, M_chunks=10, M_chunk_elems=768, num_M_blocks=10, M_chunk_size=1,N values: N=7662, N_blk=768, N_tail=750, N_chunks=10, N_chunk_elems=768, num_N_blocks=10, N_chunk_size=1,K values: K=7662, K_blk=768, K_tail=750, K_chunks=1, K_chunk_elems=46080,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
768,1,7662,7662,7662,7662,32,1,114688,336.0,2.98844,3.00114,0,false,M values: M=7662, M_blk=768, M_tail=750, M_chunks=10, M_chunk_elems=768, num_M_blocks=10, M_chunk_size=1,N values: N=7662, N_blk=768, N_tail=750, N_chunks=10, N_chunk_elems=768, num_N_blocks=10, N_chunk_size=1,K values: K=7662, K_blk=768, K_tail=750, K_chunks=1, K_chunk_elems=46080,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
768,1,1024,1024,1024,1024,32,1,2048,6.0,0.0933246,0.0938285,0,false,M values: M=1024, M_blk=768, M_tail=256, M_chunks=2, M_chunk_elems=768, num_M_blocks=2, M_chunk_size=1,N values: N=1024, N_blk=768, N_tail=256, N_chunks=2, N_chunk_elems=768, num_N_blocks=2, N_chunk_size=1,K values: K=1024, K_blk=768, K_tail=256, K_chunks=2, K_chunk_elems=768,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
768,1,1024,1024,1024,1024,32,1,2048,6.0,0.0867418,0.0913702,0,false,M values: M=1024, M_blk=768, M_tail=256, M_chunks=2, M_chunk_elems=768, num_M_blocks=2, M_chunk_size=1,N values: N=1024, N_blk=768, N_tail=256, N_chunks=2, N_chunk_elems=768, num_N_blocks=2, N_chunk_size=1,K values: K=1024, K_blk=768, K_tail=256, K_chunks=2, K_chunk_elems=768,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
768,1,1024,1024,1024,1024,32,1,2048,6.0,0.253943,0.25451,0,false,M values: M=1024, M_blk=768, M_tail=256, M_chunks=2, M_chunk_elems=768, num_M_blocks=2, M_chunk_size=1,N values: N=1024, N_blk=768, N_tail=256, N_chunks=2, N_chunk_elems=768, num_N_blocks=2, N_chunk_size=1,K values: K=1024, K_blk=768, K_tail=256, K_chunks=2, K_chunk_elems=768,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
256,1,1024,1024,1024,1024,32,1,2048,6.0,0.2443,0.24913,0,false,M values: M=1024, M_blk=256, M_tail=0, M_chunks=4, M_chunk_elems=256, num_M_blocks=4, M_chunk_size=1,N values: N=1024, N_blk=256, N_tail=0, N_chunks=4, N_chunk_elems=256, num_N_blocks=4, N_chunk_size=1,K values: K=1024, K_blk=256, K_tail=0, K_chunks=4, K_chunk_elems=256,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
256,1,1024,1024,1024,1024,32,1,2048,6.0,2.21422,2.2368,0,false,M values: M=1024, M_blk=256, M_tail=0, M_chunks=4, M_chunk_elems=256, num_M_blocks=4, M_chunk_size=1,N values: N=1024, N_blk=256, N_tail=0, N_chunks=4, N_chunk_elems=256, num_N_blocks=4, N_chunk_size=1,K values: K=1024, K_blk=256, K_tail=0, K_chunks=4, K_chunk_elems=256,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
512,1,1024,1024,1024,1024,32,1,2048,6.0,2.2529,2.2712,0,false,M values: M=1024, M_blk=512, M_tail=0, M_chunks=2, M_chunk_elems=512, num_M_blocks=2, M_chunk_size=1,N values: N=1024, N_blk=512, N_tail=0, N_chunks=2, N_chunk_elems=512, num_N_blocks=2, N_chunk_size=1,K values: K=1024, K_blk=512, K_tail=0, K_chunks=2, K_chunk_elems=512,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
512,1,1024,1024,1024,1024,32,1,2048,6.0,2.28744,2.29669,0,false,M values: M=1024, M_blk=512, M_tail=0, M_chunks=2, M_chunk_elems=512, num_M_blocks=2, M_chunk_size=1,N values: N=1024, N_blk=512, N_tail=0, N_chunks=2, N_chunk_elems=512, num_N_blocks=2, N_chunk_size=1,K values: K=1024, K_blk=512, K_tail=0, K_chunks=2, K_chunk_elems=512,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
512,1,7662,7662,7662,7662,32,1,114688,336.0,0.98939,1.03442,0,false,M values: M=7662, M_blk=512, M_tail=494, M_chunks=15, M_chunk_elems=512, num_M_blocks=15, M_chunk_size=1,N values: N=7662, N_blk=512, N_tail=494, N_chunks=15, N_chunk_elems=512, num_N_blocks=15, N_chunk_size=1,K values: K=7662, K_blk=512, K_tail=494, K_chunks=15, K_chunk_elems=512,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
512,10,7662,7662,7662,7662,32,1,114688,3360.0,11.3655,11.6442,0,false,M values: M=7662, M_blk=512, M_tail=494, M_chunks=15, M_chunk_elems=512, num_M_blocks=15, M_chunk_size=1,N values: N=7662, N_blk=512, N_tail=494, N_chunks=15, N_chunk_elems=512, num_N_blocks=15, N_chunk_size=1,K values: K=7662, K_blk=512, K_tail=494, K_chunks=2, K_chunk_elems=5120,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
512,1,1024,1024,1024,1024,1,1,2048,6.0,0.28976,0.290301,0,false,M values: M=1024, M_blk=512, M_tail=0, M_chunks=2, M_chunk_elems=512, num_M_blocks=2, M_chunk_size=1,N values: N=1024, N_blk=512, N_tail=0, N_chunks=2, N_chunk_elems=512, num_N_blocks=2, N_chunk_size=1,K values: K=1024, K_blk=512, K_tail=0, K_chunks=2, K_chunk_elems=512,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
512,1,1024,1024,1024,1024,1,1,2048,6.0,0.290886,0.290319,0,false,M values: M=1024, M_blk=512, M_tail=0, M_chunks=2, M_chunk_elems=512, num_M_blocks=2, M_chunk_size=1,N values: N=1024, N_blk=512, N_tail=0, N_chunks=2, N_chunk_elems=512, num_N_blocks=2, N_chunk_size=1,K values: K=1024, K_blk=512, K_tail=0, K_chunks=2, K_chunk_elems=512,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
1024,1,1024,1024,1024,1024,1,1,2048,6.0,0.254621,0.254358,0,false,M values: M=1024, M_blk=1024, M_tail=0, M_chunks=1, M_chunk_elems=1024, num_M_blocks=1, M_chunk_size=1,N values: N=1024, N_blk=1024, N_tail=0, N_chunks=1, N_chunk_elems=1024, num_N_blocks=1, N_chunk_size=1,K values: K=1024, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=1024,
